is_an_id,time1,float2,time3,str4
0,03/21/2004 05:36 AM,949993.016645,10/21/2009 09:31 PM,VP
1,05/27/2008 10:25 PM,265378.845531,07/13/1980 02:18 PM,1e
2,02/19/2007 06:28 AM,298614.006271,07/01/1982 05:35 AM,Lc1sf
3,02/22/1979 03:00 AM,185809.494941,05/03/2008 02:46 PM,Enu
4,05/03/1974 08:34 AM,514821.821984,05/21/1975 05:40 AM,pxplx
5,07/30/2005 12:23 AM,721117.00704,03/26/1977 06:42 AM,p1xi7
6,01/18/2007 11:25 PM,529488.19916,04/08/1976 01:53 PM,pAdz
7,01/14/2008 04:36 PM,519928.130555,12/21/1980 10:44 AM,2oG9
8,06/13/1995 12:44 AM,452872.294988,10/25/1993 02:15 PM,Ua
9,02/26/2011 12:26 AM,148865.631949,04/23/1972 12:50 AM,KXZv
10,11/30/2002 06:35 AM,718846.84218,09/30/2008 02:26 AM,Ab4d7
11,01/10/2011 10:23 AM,925632.322273,11/17/1999 08:30 PM,RF31K
12,05/10/1995 05:16 PM,876465.180678,10/24/2014 10:21 PM,HQoJd
13,07/12/1979 03:17 AM,488239.876674,11/15/1990 07:03 PM,t4
14,09/09/2007 01:52 PM,40313.6375013,07/07/1997 08:10 AM,CK
15,09/12/2006 03:08 AM,224515.234952,12/07/2006 03:22 AM,mVpuH
16,01/20/1971 05:55 PM,932410.571736,03/09/1971 06:29 AM,r
17,04/20/1990 12:29 PM,373552.872765,03/30/1979 06:00 AM,xS
18,07/19/2007 07:51 AM,152685.965789,09/22/2007 05:25 PM,D3g
19,05/30/1999 09:05 PM,768778.678449,08/13/1989 04:32 AM,6Yvf
20,12/21/1998 09:39 PM,775084.029846,01/31/2010 04:52 AM,8W
21,09/14/1994 09:47 PM,950755.215756,07/14/1985 07:02 AM,l
22,11/26/2001 06:46 AM,377538.802866,08/15/1984 06:27 PM,IG
23,09/23/2010 09:30 AM,621690.834343,04/22/2002 09:34 PM,A7Kxd
24,03/20/2014 08:26 AM,195419.788502,11/17/2007 07:40 AM,WoT
25,11/29/2003 04:45 PM,736074.679308,04/23/1970 04:49 PM,Q
