id,str1,str2,time3,int4
0,qzls,dR,12/27/1983 03:43 AM,510149
1,duA1,mLmy,08/08/1993 10:11 AM,94910
2,cXWqc,nO,04/27/1993 07:33 PM,506387
3,HRuj,XwV6,06/06/2005 06:16 PM,13542
4,S4Xx,D,11/16/1993 03:16 PM,757062
5,GS,rgaK,04/30/1978 09:54 PM,977261
6,5f,6,09/25/2012 07:25 AM,851489
7,srX,eD6s,08/03/1979 03:12 PM,241152
8,1R8F5,aZN,10/24/1979 08:22 AM,419935
9,Y8jpb,VzJ9t,06/30/1973 08:59 AM,774356
10,KgaF,VH,05/04/2002 03:13 PM,418272
11,1B,DSp4,03/21/2011 04:42 PM,317062
12,X7Ua9,jld7,09/25/2010 08:33 AM,424037
13,fVjB3,67t6H,05/07/1975 09:53 AM,455980
14,8bQ,niA3,06/11/1979 03:24 PM,424213
15,PW,MWM4,04/15/2004 12:54 AM,234050
16,xHKvS,QN,08/03/1987 01:13 PM,670365
17,7F,C,05/09/1981 05:17 AM,585770
18,xp,f,01/25/2004 11:36 PM,710502
19,mh,pUZfB,09/11/1985 10:26 PM,272118
20,vdN17,82R,07/03/1978 03:29 PM,61715
21,JNZ,pI,01/20/2002 10:37 PM,60896
22,O,GV,03/15/2003 08:57 AM,475622
23,fV,NSR,04/14/2008 05:16 PM,407554
24,oI2J,7,06/12/1997 02:14 PM,666047
25,bk2vq,Uuih,12/14/1972 12:22 AM,859074
26,t5W,TEu,11/08/1970 10:10 AM,963604
27,2,25,10/18/1984 01:18 AM,866247
28,sag3O,o6R,04/21/1970 03:48 AM,919349
29,sQ,dmT,11/21/1998 03:25 AM,113854
30,l,jW,11/15/1973 11:17 PM,825752
31,7jF,X3K6M,01/05/1985 03:31 PM,855651
32,dl,jD5yM,03/23/1983 03:40 AM,347437
33,QtE5,dlRXl,06/28/1998 11:06 PM,234409
34,p,Jc3Y,04/11/1992 03:09 AM,529704
35,NRlR,MCD,06/24/2002 02:38 AM,636731
36,KYz5w,tS9r,10/01/1981 05:45 AM,918073
37,QWOdj,T1,06/27/1973 08:58 AM,713544
38,6JgPg,o,09/26/2011 06:02 AM,12661
39,ll,Rb2X,12/18/2011 03:24 AM,397382
40,jPp,JDdId,02/10/1988 02:10 AM,67280
41,w,MED,07/07/1993 11:00 PM,879896
42,Ukh4S,oN,06/04/2012 02:02 PM,206267
43,A8Ztz,BmI,06/27/1971 09:57 PM,757460
44,I8Xm4,U,03/10/1995 01:51 PM,897433
45,w,JPU,08/15/1992 07:57 PM,101994
46,OtTkH,j,07/09/1978 08:50 AM,264557
47,S4Ke,fj,02/23/2013 12:51 PM,708941
48,FFWYH,2e,09/28/2007 07:32 AM,736988
49,yv,8,09/08/1971 09:28 PM,10414
50,vB,ePsHP,08/17/1974 12:25 PM,800326
51,vj5,dAcG,04/05/1994 12:15 AM,372992
52,ofS5,zo,09/10/2010 02:22 PM,667476
53,ztC,19Jt,11/02/1982 05:11 PM,512954
54,Y9Mex,5ea,07/24/1989 07:19 AM,849151
55,SISn,uF,03/29/2003 07:39 AM,906770
56,nImo,q,08/22/1995 12:49 AM,799093
57,dTCvz,RkDGG,01/19/1985 06:37 PM,448363
58,Dx2U,mM7E,09/15/1985 07:49 AM,969267
59,yuO,g,07/06/1981 11:57 PM,917145
60,mnx9E,VB,06/24/1980 11:45 AM,140179
61,L6,Y2,08/26/1983 08:22 AM,338069
62,wwLS,eaTEW,12/31/1985 08:56 PM,259843
63,yS,Zsya,04/05/1991 01:00 AM,801515
64,W,y,04/21/1986 09:20 AM,950491
65,c,sI8sS,06/29/1979 11:18 AM,159345
66,chjPb,Ssl7n,03/21/1977 04:34 PM,671443
67,TntrA,tmU,12/15/1986 05:00 AM,762855
68,g,Da2p,02/12/2013 11:06 PM,148570
69,a,Z7s9,10/15/1976 07:54 PM,650532
70,6,2nh,02/07/1994 03:25 AM,100110
